 ,Area,Mean,Min,Max,X,Y
1,0,56,56,56,2261.000,2996.000
2,0,0,0,0,2260.500,3148.833
3,0,0,0,0,2257.833,3037.500
4,0,0,0,0,2336.500,3040.167
5,0,0,0,0,2331.167,3035.500
6,0,0,0,0,2331.833,3236.833
7,0,0,0,0,2328.167,3228.833
8,0,0,0,0,2459.500,3226.833
9,0,0,0,0,2437.500,3232.167
10,0,0,0,0,2438.833,3014.833
11,0,1,1,1,2434.167,3018.833
12,0,106,106,106,3631.500,3023.167
13,0,0,0,0,3626.167,3017.833
14,0,0,0,0,3625.500,3234.500
15,0,0,0,0,3735.500,3227.167
16,0,0,0,0,3618.833,3227.167
17,0,251,251,251,3729.500,3236.500
18,0,0,0,0,3730.167,2949.833
19,0,255,255,255,3737.500,3016.500
20,0,0,0,0,3686.167,3016.500
21,0,0,0,0,3690.833,3020.500
22,0,0,0,0,3692.167,2949.833
23,0,0,0,0,3685.500,3079.833
24,0,0,0,0,3684.833,3235.167
25,0,0,0,0,3681.500,3084.500
26,0,0,0,0,3735.500,3085.833
27,0,0,0,0,3735.833,2955.167
28,0,0,0,0,2329.500,2954.833
29,0,0,0,0,2334.833,2951.500
30,0,0,0,0,2334.167,3003.500
31,0,19,19,19,2338.167,3000.167
32,0,0,0,0,2250.833,2999.500
33,0,0,0,0,2388.833,3058.167
34,0,255,255,255,2390.833,3237.500
35,0,199,199,199,2395.500,3063.500
36,0,0,0,0,2328.833,3064.500
37,0,0,0,0,4162.167,2648.833
38,0,84,84,84,3968.833,2648.833
39,0,0,0,0,4154.833,2646.167
40,0,0,0,0,4154.167,2710.833
41,0,0,0,0,3970.500,1275.500
42,0,189,189,189,4929.500,1279.500
43,0,0,0,0,4918.500,1271.500
44,0,234,234,234,4920.500,2595.500
45,0,56,56,56,4928.500,2583.500
46,0,84,84,84,3968.500,2584.500
47,0,0,0,0,3979.500,2707.500
48,0,38,38,38,3979.500,1268.500
49,0,0,0,0,3971.833,2702.833
50,0,0,0,0,4360.500,2703.500
51,0,0,0,0,4353.833,2710.167
52,0,23,23,23,4354.500,2583.500
53,0,230,230,230,3967.833,2590.167
54,0,0,0,0,4243.833,2591.500
55,0,0,0,0,3973.833,846.833
56,0,0,0,0,3975.167,1074.167
57,0,84,84,84,3969.167,1066.833
58,0,0,0,0,4157.833,1066.167
59,0,40,40,40,4071.167,846.167
60,0,0,0,0,4069.167,1072.167
61,0,0,0,0,3967.167,853.500
62,0,82,82,82,4083.833,856.833
63,0,40,40,40,4017.833,846.167
64,0,133,133,133,4017.167,983.500
65,0,0,0,0,4021.167,979.500
66,0,230,230,230,3967.833,980.833
