 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,29.500,2889.500
2,0,26,26,26,86.500,2890.500
3,0,0,0,0,724.500,2872.500
4,0,0,0,0,788.500,2871.500
5,0,0,0,0,2563.833,2782.833
6,0,0,0,0,2621.500,2783.500
7,0,0,0,0,3731.000,2784.000
8,0,0,0,0,3791.000,2783.500
9,0,0,0,0,2561.167,3899.500
10,0,10,10,10,2619.167,3900.167
11,0,0,0,0,3970.167,3915.833
12,0,0,0,0,3969.750,3994.750
13,0,0,0,0,4164.500,3355.500
14,0,0,0,0,4225.500,3355.500
15,0,0,0,0,4185.750,2280.750
16,0,0,0,0,4185.250,2339.000
17,0,0,0,0,3977.000,1456.500
18,0,0,0,0,4021.500,1456.500
