 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,110.000,2259.000
2,0,0,0,0,165.500,2258.500
3,0,0,0,0,804.500,2262.500
4,0,0,0,0,865.500,2264.500
5,0,0,0,0,2512.833,2168.167
6,0,0,0,0,2567.500,2168.833
7,0,0,0,0,3786.000,2161.000
8,0,0,0,0,3849.500,2161.000
9,0,0,0,0,2516.833,3269.167
10,0,0,0,0,2572.833,3269.833
11,0,0,0,0,3962.000,3209.000
12,0,0,0,0,3961.500,3284.000
13,0,0,0,0,4220.500,2724.500
14,0,0,0,0,4275.000,2725.000
15,0,0,0,0,4149.000,1666.500
16,0,0,0,0,4148.500,1715.000
17,0,0,0,0,3981.000,870.000
18,0,0,0,0,4021.750,870.250
